s__Enterococcus_B hirae	GCA_000271405.2
s__Mycoplasma capricolum	GCF_000012765.1
s__Phocaeicola vulgatus	GCF_000012825.1
s__Sphingopyxis alaskensis	GCF_000013985.1
s__Epibacterium sp000014065	GCF_000014065.1
s__Cytophaga hutchinsonii	GCF_000014145.1
s__Syntrophomonas wolfei	GCF_000014725.1
s__Polaromonas naphthalenivorans	GCF_000015505.1
s__Acidovorax eiseniae	GCF_000015565.1
s__Geotalea uraniireducens	GCF_000016745.1
s__Limosilactobacillus reuteri	GCF_000016825.1
s__Roseiflexus castenholzii	GCF_000017805.1
s__Halothermothrix orenii	GCF_000020485.1
s__Prosthecochloris aestuarii	GCF_000020625.1
s__Deinococcus deserti	GCF_000020685.1
s__Persephonella marina	GCF_000021565.1
s__Teredinibacter turnerae_B	GCF_000023025.1
s__Kosmotoga olearia	GCF_000023325.1
s__Slackia heliotrinireducens	GCF_000023885.1
s__Kytococcus sedentarius	GCF_000023925.1
s__Desulfofarcimen acetoxidans	GCF_000024205.1
s__Rhodothermus marinus	GCF_000024845.1
s__Bartonella henselae	GCF_000046705.1
s__Clavibacter sepedonicus	GCF_000069225.1
s__Rhizobium etli	GCF_000092045.1
s__Thermobispora bispora	GCF_000092645.1
s__Cellulomonas flavigena	GCF_000092865.1
s__Kyrpidia tusciae	GCF_000092905.1
s__Brevundimonas subvibrioides	GCF_000144605.1
s__Acetohalobium arabaticum	GCF_000144695.1
s__Butyrivibrio proteoclasticus	GCF_000145035.1
s__Gallionella capsiferriformans	GCF_000145255.1
s__Spirochaeta_A thermophila_A	GCF_000147075.1
s__Ethanoligenens harbinense	GCF_000178115.2
s__Eperythrozoon_A suis	GCF_000179035.2
s__Ruminococcus_D albus	GCF_000179635.2
s__Variovorax paradoxus_C	GCF_000184745.1
s__Wolinella succinogenes	GCF_000196135.1
s__Shewanella sp000203935	GCF_000203935.1
s__Selenomonas sputigena	GCF_000208405.1
s__Isoptericola variabilis_A	GCF_000215105.1
s__Runella slithyformis	GCF_000218895.1
s__Pseudomonas_A stutzeri	GCF_000219605.1
s__Collimonas fungivorans_A	GCF_000221045.1
s__Mesorhizobium australicum	GCF_000230995.2
s__Staphylococcus argenteus	GCF_000236925.1
s__Streptomyces cattleya	GCF_000240165.1
s__Niastella koreensis	GCF_000246855.1
s__Hyphomicrobium sp000253295	GCF_000253295.1
s__Turneriella parva	GCF_000266885.1
s__Bifidobacterium infantis	GCF_000269965.1
s__Kitasatospora setae	GCF_000269985.1
s__Eperythrozoon_A wenyonii	GCF_000277795.1
s__Bradyrhizobium sp000296215	GCF_000296215.2
s__Portiera aleyrodidarum	GCF_000300075.1
s__Listeria monocytogenes_B	GCF_000307025.1
s__Halothece sp000317635	GCF_000317635.1
s__Spiribacter salinus	GCF_000319575.2
s__Halobacteroides halobius	GCF_000328625.1
s__Rhizobium tropici	GCF_000330885.1
s__Desulfocapsa sulfexigens	GCF_000341395.1
s__Nitrosospira lacus	GCF_000355765.4
s__Wolbachia sp000376585	GCF_000376585.1
s__Pseudomonas_E syringae_F	GCF_000452705.1
s__Eperythrozoon_A ovis	GCF_000508245.1
s__Buchnera aphidicola_C	GCF_000521565.1
s__Mannheimia sp000521605	GCF_000521605.1
s__Nocardia nova_A	GCF_000523235.1
s__Corynebacterium glyciniphilum	GCF_000626675.1
s__Janthinobacterium agaricidamnosum	GCF_000723165.1
s__Dyella japonica_C	GCF_000725385.1
s__Synechococcus_E sp000737575	GCF_000737575.1
s__Bacillus_A anthracis	GCF_000742895.1
s__Planococcus sp000785555	GCF_000785555.1
s__Campylobacter_D sp000816245	GCF_000816245.1
s__Serpentinomonas mccroryi	GCF_000828915.1
s__Photobacterium gaetbulicola	GCF_000940995.1
s__Defluviitoga tunisiensis	GCF_000953715.1
s__Burkholderia vietnamiensis	GCF_000959445.1
s__Chryseobacterium gallinarum	GCF_001021975.1
s__Pelagerythrobacter marensis	GCF_001028625.1
s__Parascardovia denticolens	GCF_001042675.1
s__Scardovia inopinata	GCF_001042695.1
s__Bacillus_O smithii	GCF_001050115.1
s__Campylobacter_B gracilis	GCF_001190745.1
s__Cronobacter universalis	GCF_001277175.1
s__Buchnera aphidicola_E	GCF_001280225.1
s__Sphingopyxis macrogoltabida	GCF_001314325.1
s__Specibacter alpinus_C	GCF_001445575.1
s__Marinobacter sp001447155	GCF_001447155.2
s__Nitrospira_F inopinata	GCF_001458695.1
s__GCF-1484045 sp001484045	GCF_001484045.1
s__Arsenophonus_A lipoptenae	GCF_001534665.1
s__Lutibacter profundi	GCF_001543325.1
s__Caballeronia sp001557535	GCF_001557535.2
s__Ramlibacter tataouinensis_B	GCF_001580455.1
s__Streptomyces qaidamensis	GCF_001611795.1
s__Acinetobacter sp001612555	GCF_001612555.1
s__Lysinibacillus sphaericus_A	GCF_001629735.1
s__Erythrobacter neustonensis	GCF_001663175.1
s__Vibrio breoganii	GCF_001677275.1
s__Planococcus antarcticus	GCF_001687565.2
s__Bradyrhizobium icense	GCF_001693385.1
s__Cloacibacillus porcorum	GCF_001701045.1
s__Acinetobacter defluvii	GCF_001704615.3
s__Cobetia marina	GCF_001720485.1
s__Enterobacter hormaechei_A	GCF_001729745.1
s__Hel1-33-131 sp001735745	GCF_001735745.1
s__Clostridium taeniosporum	GCF_001735765.2
s__Acetobacter ascendens	GCF_001766235.1
s__Moorea producens_A	GCF_001767235.1
s__Boudabousia tangfeifanii	GCF_001856685.1
s__Clostridium_AD estertheticum	GCF_001877035.1
s__Nocardia mangyaensis	GCF_001886715.1
s__Francisella uliginis	GCF_001895265.1
s__Amylolactobacillus amylophilus	GCF_001936335.1
s__Roseomonas gilardii	GCF_001941945.1
s__Borreliella mayonii	GCF_001945665.1
s__Rhodoferax_B koreense	GCF_001955695.1
s__Paenibacillus_H larvae	GCF_002003265.1
s__Elizabethkingia bruuniana	GCF_002024805.1
s__Campylobacter_D helveticus	GCF_002080395.1
s__Mixta alhagi	GCF_002101395.1
s__Rhizobium sp002117485	GCF_002117485.1
s__Campylobacter sp002139915	GCF_002139915.1
s__Corynebacterium pseudotuberculosis	GCF_002155265.1
s__Tatumella citrea	GCF_002163585.1
s__Acidovorax sp002176815	GCF_002176815.1
s__Pseudoalteromonas piscicida_A	GCF_002208135.1
s__Ascidiaceihabitans pseudonitzschiae_A	GCF_002222635.1
s__Ideonella filiformis	GCF_002222655.1
s__Dehalobacterium formicoaceticum	GCF_002224645.1
s__Ochrobactrum_A quorumnocens	GCF_002278035.1
s__Sinorhizobium sojae	GCF_002288525.1
s__Brenneria goodwinii	GCF_002291445.1
s__Thauera sp002354895	GCF_002354895.1
s__Aneurinibacillus soli	GCF_002355375.1
s__Aurantimicrobium minutum	GCF_002355535.1
s__Streptococcus sp002355895	GCF_002355895.1
s__Streptococcus oralis_S	GCF_002386345.1
s__Brachybacterium vulturis	GCF_002407185.1
s__Parasphingorhabdus sp002776575	GCF_002776575.1
s__Spiroplasma_A clarkii	GCF_002795265.1
s__Sphingomonas sp002796605	GCF_002796605.1
s__Mesoplasma tabanidae	GCF_002804025.1
s__Chromobacterium sp002848345	GCF_002848345.1
s__Bacteroides fragilis_A	GCF_002849695.1
s__Pseudoclostridium thermosuccinogenes	GCF_002896855.1
s__Agrobacterium deltaense	GCF_002943835.1
s__Fastidiosipila sanguinis	GCF_002998295.1
s__Rhodopseudomonas palustris_H	GCF_003031265.1
s__Campylobacter_A concisus_D	GCF_003048835.2
s__Corynebacterium yudongzhengii	GCF_003065405.1
s__Methyloceanibacter sp003071365	GCF_003071365.1
s__Flavobacterium kingsejongi	GCF_003076475.1
s__Pseudomonas_E sp003151075	GCF_003151075.1
s__Methylobacterium durans	GCF_003173715.1
s__Muricauda maritima	GCF_003269425.1
s__Blautia argi	GCF_003287895.1
s__Flavobacterium arcticum	GCF_003344925.1
s__Qipengyuania aurea	GCF_003355455.1
s__Saccharospirillum mangrovi	GCF_003367315.1
s__Staphylococcus warneri_A	GCF_003491325.1
s__Profundibacter amoris	GCF_003544895.1
s__Streptococcus respiraculi	GCF_003595525.1
s__Escherichia coli	GCF_003697165.2
s__Georgenia_A faecalis	GCF_003710105.1
s__Polaromonas sp003711205	GCF_003711205.1
s__Cohnella candidum	GCF_003713065.1
s__Pigmentiphaga sp003854895	GCF_003854895.1
s__Erysipelothrix piscisicarius	GCF_003931795.1
s__Paenibacillus_A lentus	GCF_003931855.1
s__Paenibacillus_Z albus	GCF_003952225.1
s__Streptomyces aquilus	GCF_003955715.1
s__SCSIO-07484 sp003963515	GCF_003963515.1
s__Flammeovirga pectinis	GCF_003970675.1
s__Entomomonas moraniae	GCF_003991975.1
s__X156 sp004006015	GCF_004006015.1
s__Oenococcus sp004010835	GCF_004010835.2
s__Acetobacter oryzoeni	GCF_004014775.2
s__Geovibrio thiophilus	GCF_004087915.1
s__Streptomyces sp003046555	GCF_004104505.1
s__Brevibacillus agri	GCF_004117055.1
s__Xylanimonas sp004135385	GCF_004135385.1
s__Rheinheimera sp004345025	GCF_004345025.1
s__Microbacterium sediminis	GCF_004564075.1
s__Thalassotalea_A sp004752005	GCF_004752005.1
s__Neisseria flavescens	GCF_005221285.1
s__Spiroplasma melliferum	GCF_005222125.1
s__Pseudorhodobacter turbinis	GCF_005234135.1
s__Ureibacillus sp005491425	GCF_005491425.1
s__Caminibacter mediatlanticus	GCF_005843985.1
s__Acinetobacter radioresistens	GCF_006757745.1
s__Rubrobacter_B xylanophilus_A	GCF_007164525.1
s__Maioricimonas rarisocia	GCF_007747795.1
s__Lignipirellula cremea	GCF_007751035.1
s__Sphingomonas sp007833215	GCF_007833215.1
s__Streptomyces qinzhouensis	GCF_007856155.1
s__Streptomyces fradiae	GCF_008704425.1
s__Streptomyces kanamyceticus	GCF_008704495.1
s__Streptomyces chartreusis	GCF_008704715.1
s__Hypericibacter terrae	GCF_008728855.1
s__Nocardioides cynanchi	GCF_008761635.1
s__Neisseria zalophi	GCF_008807015.1
s__Pseudomonas_F lalkuanensis	GCF_008807375.1
s__Pradoshia sp001685035	GCF_008935075.1
s__Rhizobium grahamii_A	GCF_009498215.1
s__Novosphingobium sp009707465	GCF_009707465.1
s__Acinetobacter baumannii	GCF_009759685.1
s__Cellulophaga sp009797025	GCF_009797025.1
s__Rossellomorea marisflavi_A	GCF_009806575.1
s__Colwellia sp009832865	GCF_009832865.1
s__Sulfurimonas sp002452895	GCF_009883775.1
s__Vibrio ponticus	GCF_009938225.1
s__Spiroplasma_A sp010365785	GCF_010365785.1
s__Faecalibacterium prausnitzii_C	GCF_010509575.1
s__Vibrio astriarenae	GCF_010587385.1
s__Mycobacterium aichiense	GCF_010726245.1
s__Mycobacterium terrae	GCF_010727125.1
s__Mycobacterium sediminis	GCF_010731735.1
s__Sphingomicrobium sp011301715	GCF_011301715.1
s__Thiomicrorhabdus sp011398355	GCF_011398355.1
s__Nocardia brasiliensis_C	GCF_011801125.1
s__Nocardioides sp012272695	GCF_012272695.1
s__Bermanella marisrubri	GCF_012295615.1
s__Metamycoplasma sp012934855	GCF_012934855.1
s__Mesorhizobium loti_B	GCF_013170845.1
s__Aliarcobacter aquimarinus	GCF_013177635.1
s__Campylobacter_B geochelonis	GCF_013201685.1
s__Hymenobacter sp013256625	GCF_013256625.1
s__Sphingomonas sp013344685	GCF_013344685.1
s__Chitinibacter fontanus	GCF_013423785.1
s__Alysiella filiformis	GCF_014054525.1
s__Aureimonas mangrovi	GCF_014058705.1
s__Adhaeribacter radiodurans	GCF_014075995.1
s__Legionella sp014109805	GCF_014109805.1
s__HY038 sp014117425	GCF_014117425.1
s__Xanthomonas_A sp014236855	GCF_014236855.1
s__Blattabacterium cuenoti_S	GCF_014251635.1
s__Blattabacterium cuenoti_J	GCF_014252255.1
s__Synechococcus_C sp000153065	GCF_014279595.1
s__Achromobacter bronchisepticus_A	GCF_014490035.1
s__Mesorhizobium_E sp014495845	GCF_014495845.1
s__Actinomyces sp011751985	GCF_014595995.2
s__Defluviicoccus vanus	GCF_014672695.1
s__Streptomyces griseofuscus	GCF_014673495.1
s__Aureimonas altamirensis_A	GCF_014844055.1
s__Microbacterium sp900098805	GCF_015277875.1
s__Kinneretia sp015624425	GCF_015624425.1
s__Mycobacterium sp016313185	GCF_016313185.1
s__Amphritea japonica	GCF_016592435.1
s__YY08-10 sp016629565	GCF_016629565.1
s__Entomomonas sp016653615	GCF_016653615.1
s__Sphingobacterium spiritivorum_A	GCF_016724845.1
s__Brevibacillus choshinensis_A	GCF_016811915.1
s__Citrobacter sp016811995	GCF_016811995.1
s__EFPC2 sp016925495	GCF_016925495.1
s__Brevundimonas sp017487345	GCF_017487345.1
s__Streptomyces cyanogenus	GCF_017526105.1
s__Arachnia sp001956895	GCF_017815535.1
s__Luteolibacter sp018137965	GCF_018137965.1
s__Miltoncostaea oceani	GCF_018141545.1
s__Moritella sp018219455	GCF_018219455.1
s__Chitinophaga sp018255755	GCF_018255755.1
s__Actinoplanes ianthinogenes	GCF_018324205.1
s__Pseudomonas_E sp002901475	GCF_018326005.1
s__Paludibacterium sp018802765	GCF_018802765.1
s__Curtobacterium sp018885305	GCF_018885305.1
s__Bradyrhizobium sp900176205	GCF_900176205.1
s__Stenotrophomonas maltophilia	GCF_900186865.1
s__Listeria monocytogenes	GCF_900187225.1
s__Veillonella rodentium	GCF_900187285.1
s__Neisseria zoodegmatis	GCF_900187305.1
s__Massilistercora timonensis	GCF_900312975.1
s__Enterobacter bugandensis	GCF_900324475.1
s__Streptococcus lutetiensis	GCF_900475675.1
s__Acinetobacter calcoaceticus_C	GCF_900520355.1
s__Lautropia mirabilis	GCF_900637555.1
s__Mycoplasmopsis_A gallinaceum	GCF_900660495.1
s__Mycoplasmopsis_A citelli	GCF_900660645.1
s__Campylobacter_A showae_D	GCF_900699785.1
s__Sphingobacterium daejeonense	GCF_901472535.1
s__Neisseria lactamica	GCF_901482445.1
s__Aquicella lusitana	GCF_902459475.1
s__Agreia sp904528075	GCF_904528075.1
s__Mycobacterium abscessus	GCA_000069185.1
s__Buchnera aphidicola_G	GCA_000217635.1
s__Sphingobium indicum	GCA_000264945.2
s__UBA11063 sp002892535	GCA_002892535.1
s__Nanosynbacter sp005697565	GCA_005697565.1
s__Scatomonas sp003481995	GCA_014337215.1
s__Brucella melitensis	GCF_000007125.1
s__Dehalococcoides mccartyi	GCF_000011905.1
s__Rhodoferax ferrireducens	GCF_000013605.1
s__Paraburkholderia xenovorans	GCF_000013645.1
s__Rickettsia canadensis	GCF_000014345.1
s__Paenarthrobacter aurescens_A	GCF_000014925.1
s__Hungateiclostridium thermocellum	GCF_000015865.1
s__Thermotoga petrophila	GCF_000016785.1
s__Alkaliphilus_A metalliredigens	GCF_000016985.1
s__Campylobacter_B hominis	GCF_000017585.1
s__Methylacidiphilum infernorum	GCF_000019665.1
s__Exiguobacterium_A sibiricum	GCF_000019905.1
s__Opitutus terrae	GCF_000019965.1
s__Akkermansia muciniphila	GCF_000020225.1
s__Chlorobaculum parvum_A	GCF_000020505.1
s__Stenotrophomonas maltophilia_L	GCF_000020665.1
s__Geomonas bemidjiensis	GCF_000020725.1
s__Dictyoglomus thermophilum	GCF_000020965.1
s__Ruminiclostridium cellulolyticum	GCF_000022065.1
s__Methylobacterium nodulans	GCF_000022085.1
s__Caldicellulosiruptor bescii	GCF_000022325.1
s__Dyadobacter fermentans	GCF_000023125.1
s__Geodermatophilus obscurus	GCF_000025345.1
s__Bradyrhizobium sp000026145	GCF_000026145.1
s__Escherichia fergusonii	GCF_000026225.1
s__Desulfarculus baarsii	GCF_000143965.1
s__Clostridium_K cellulovorans	GCF_000145275.1
s__Fibrobacter succinogenes	GCF_000146505.1
s__Thermoanaerobacter wiegelii	GCF_000147695.2
s__Streptomyces violaceusniger_A	GCF_000147815.2
s__Ferrimonas balearica	GCF_000148645.1
s__Rothia dentocariosa	GCF_000164695.2
s__Pantoea sp000175935	GCF_000175935.2
s__Desulfurispirillum indicum	GCF_000177635.2
s__Paludibacter propionicigenes	GCF_000183135.1
s__Hoyosella subflava	GCF_000214175.1
s__Advenella kashmirensis	GCF_000219915.2
s__Bacillus spizizenii	GCF_000227465.1
s__Acetivibrio clariflavus	GCF_000237085.1
s__Singulisphaera acidiphila	GCF_000242455.2
s__Desulfomonile tiedjei	GCF_000266945.1
s__Taylorella equigenitalis	GCF_000276685.1
s__Blastococcus saxobsidens_A	GCF_000284015.1
s__Desulfobacula toluolica	GCF_000307105.1
s__Leptospira santarosai	GCF_000313175.2
s__Blattabacterium sp000334405	GCF_000334405.1
s__Actinoplanes sp000389965	GCF_000389965.1
s__Eperythrozoon_A parvum	GCF_000477415.1
s__Liberibacter americanus	GCF_000496595.1
s__Clostridium_AN bornimense	GCF_000577895.1
s__Neorickettsia helminthoeca	GCF_000632985.1
s__Bifidobacterium indicum	GCF_000706765.1
s__Bacillus_Z methanolicus_A	GCF_000724485.1
s__Nitrospirillum amazonense	GCF_000730165.1
s__Neorhizobium galegae	GCF_000731315.1
s__Sandaracinus amylolyticus	GCF_000737325.1
s__Prochlorococcus_A sp000757845	GCF_000757845.1
s__Prochlorococcus_B sp000757865	GCF_000757865.1
s__Pseudomonas_E rhizosphaerae	GCF_000761155.1
s__Listeria londoniensis	GCF_000763495.1
s__MONJU sp000801295	GCF_000801295.1
s__Eubacterium limosum	GCF_000807675.2
s__Legionella fallonii	GCF_000953135.1
s__Paenibacillus_O beijingensis	GCF_000961095.1
s__Pasteurella multocida_A	GCF_000973525.1
s__Corynebacterium camporealensis	GCF_000980815.1
s__Croceibacterium atlanticum	GCF_001008165.2
s__Streptomyces leeuwenhoekii	GCF_001013905.1
s__Ottowia sp001262075	GCF_001262075.1
s__Mycoplasmoides pneumoniae	GCF_001272835.1
s__Leptotrichia_A sp001274535	GCF_001274535.1
s__Stenotrophomonas maltophilia_AJ	GCF_001274595.1
s__Specibacter sp001281315	GCF_001281315.1
s__Pseudomonas_E fluorescens_E	GCF_001307155.1
s__Pseudonocardia sp001420995	GCF_001420995.1
s__Acidipropionibacterium acidipropionici	GCF_001441165.1
s__Planococcus kocurii	GCF_001465835.2
s__Aerococcus urinae	GCF_001543175.1
s__Sulfurospirillum cavolei	GCF_001548055.1
s__Faecalibaculum rodentium	GCF_001564455.1
s__Frondihabitans sp001577365	GCF_001577365.1
s__Pirellula_B sp001610875	GCF_001610875.1
s__Paludisphaera sp001610895	GCF_001610895.1
s__Croceicoccus marinus	GCF_001661675.2
s__Streptomyces lincolnensis	GCF_001685355.1
s__Planococcus halocryophilus	GCF_001687585.2
s__Spiroplasma_A helicoides	GCF_001715535.1
s__Weissella soli	GCF_001761545.1
s__Flavobacterium crassostreae	GCF_001831475.1
s__Thalassotalea_A crassostreae	GCF_001831495.1
s__Mesorhizobium_E oceanicum	GCF_001889605.1
s__Borrelia anserina	GCF_001936255.1
s__Corynebacterium phocae	GCF_001941565.1
s__Tateyamaria omphalii_A	GCF_001969365.1
s__Salipiger profundus	GCF_001969385.1
s__Salipiger abyssi	GCF_001975705.1
s__Arachnia flava	GCF_001997295.1
s__Bartonella apis_B	GCF_002007565.1
s__Anaerohalosphaera lusitana	GCF_002007645.1
s__Bdellovibrio bacteriovorus_C	GCF_002208115.1
s__Vibrio vulnificus	GCF_002224265.1
s__Tatlockia clemsonensis	GCF_002240035.1
s__Paenibacillus kribbensis	GCF_002240415.1
s__Tsuneonella mangrovi	GCF_002269345.1
s__Maribacter cobaltidurans	GCF_002269385.1
s__Chryseobacterium piperi	GCF_002285635.2
s__Nanopelagicus limnes	GCF_002287885.2
s__Limnothrix sp002356215	GCF_002356215.1
s__Pleurocapsa sp002368355	GCF_002368355.1
s__Paracoccus sp002847305	GCF_002847305.1
s__Pseudoalteromonas sp002850255	GCF_002850255.1
s__Streptococcus pluranimalium	GCF_002953735.1
s__Mogibacterium diversum	GCF_002998925.1
s__Melaminivora_A sp003008575	GCF_003008575.1
s__Pseudomonas_E mendocina_C	GCF_003008615.1
s__Staphylococcus muscae	GCF_003019275.1
s__Fusobacterium_A ulcerans	GCF_003019675.1
s__Campylobacter_A concisus_T	GCF_003048375.1
s__Campylobacter_A concisus_I	GCF_003048775.2
s__Algibacillus sp003063625	GCF_003063625.1
s__Flavobacterium faecale	GCF_003076455.1
s__Streptococcus chenjunshii	GCF_003086355.1
s__Azospirillum thermophilum	GCF_003130795.1
s__Echinicola strongylocentroti	GCF_003260975.1
s__Photorhabdus laumondii	GCF_003343245.1
s__Francisella opportunistica	GCF_003347135.1
s__Sulfitobacter sp003352085	GCF_003352085.1
s__Pseudomonas_E sp003595175	GCF_003595175.1
s__JN-1 sp003600355	GCF_003600355.1
s__Sulfitobacter sp001634775	GCF_003611275.1
s__Phytoplasma ziziphi	GCF_003640545.1
s__UBA1936 sp003660165	GCF_003660165.1
s__Sphingopyxis sp001427085	GCF_003797775.2
s__Corynebacterium pseudopelargi	GCF_003814005.1
s__Pseudomonas_E chlororaphis_F	GCF_003850345.1
s__Intestinibaculum porci	GCF_003925875.1
s__Pseudomonas_E chlororaphis	GCF_003945765.1
s__Jeotgalibaca ciconiae	GCF_003955755.1
s__Rickettsiella_B viridis	GCF_003966755.1
s__Methylomusa anaerophila	GCF_003966895.1
s__Eikenella corrodens_B	GCF_003990355.1
s__Actinoplanes sp004001265	GCF_004001265.1
s__Clostridium_B sp004006395	GCF_004006395.2
s__Nocardioides sp004014875	GCF_004014875.1
s__Aminipila sp004103735	GCF_004103735.1
s__Aliarcobacter pacificus	GCF_004214795.1
s__Pseudomonas_E sp004214895	GCF_004214895.1
s__Nardonella sp004296475	GCF_004296475.1
s__Stenotrophomonas maltophilia_A	GCF_004346925.1
s__Kaistella sp004359195	GCF_004359195.1
s__Terasakiella sp004564135	GCF_004564135.1
s__Actinomyces procaprae	GCF_004798665.1
s__Campylobacter_A rectus	GCF_004803795.1
s__Buchnera aphidicola_AW	GCF_005083845.1
s__Fabibacter_A pacificus_A	GCF_005166025.1
s__Streptomyces griseoviridis_A	GCF_005222485.1
s__Brenneria nigrifluens	GCF_005484965.1
s__Citricoccus sp005877055	GCF_005877055.1
s__Staphylococcus haemolyticus	GCF_006094395.1
s__Serinicoccus chungangensis	GCF_006337125.1
s__Paremcibacter congregatus	GCF_006385135.1
s__Leclercia adecarboxylata_C	GCF_006874705.1
s__Aeoliella mucimassa	GCF_007748035.1
s__Pantoea dispersa_B	GCF_007833795.1
s__Panacibacter ginsenosidivorans	GCF_007971225.1
s__Sphingobacterium hotanense	GCF_008274825.1
s__Gimesia maris	GCF_008298035.1
s__Labrys sp008330945	GCF_008330945.1
s__Streptomyces viridosporus	GCF_008704515.1
s__Streptomyces subrutilus	GCF_008704535.1
s__Cupriavidus basilensis	GCF_008801925.2
s__Corynebacterium sp009026825	GCF_009026825.1
s__Sulfurimonas sp009258225	GCF_009258225.1
s__Luteimicrobium xylanilyticum	GCF_009429125.1
s__Methylospira mobilis	GCF_009498235.1
s__Nocardioides sp009557055	GCF_009557055.1
s__Acinetobacter wanghuae	GCF_009557235.1
s__Spiroplasma_A tabanidicola	GCF_009730595.1
s__Corynebacterium sp009734385	GCF_009734385.1
s__Casimicrobium huifangae	GCF_009746125.1
s__Paraburkholderia acidiphila	GCF_009789655.1
s__Polaribacter sp009796785	GCF_009796785.1
s__Algibacter sp009796825	GCF_009796825.1
s__Stenotrophomonas maltophilia_AP	GCF_009832905.1
s__Streptomyces sp009857135	GCF_009857135.1
s__Pseudomonas_E putida_W	GCF_009883635.2
s__Anaerocolumna sedimenticola	GCF_009931695.1
s__Streptomyces sp010384365	GCF_010384365.1
s__Draconibacterium halophilum	GCF_010448835.1
s__Kineobactrum salinum	GCF_010669285.1
s__Mycobacterium cookii	GCF_010727945.1
s__Mycobacterium heidelbergense	GCF_010730745.1
s__Erythrobacter sp011047315	GCF_011047315.1
s__Sphingomicrobium sinipercae	GCF_011302055.1
s__Vagococcus_D coleopterorum	GCF_011303955.1
s__Diaphorobacter_A sp011305995	GCF_011305995.1
s__Gemmata tundricola	GCF_013128195.2
s__Halarcobacter ebronensis	GCF_013201825.1
s__Neisseria sp000186165	GCF_013267835.1
s__Streptococcus mitis_BO	GCF_013305725.1
s__Streptomyces sp013364155	GCF_013364155.1
s__Marinomonas primoryensis	GCF_013372285.1
s__Pseudomonas_E eucalypticola	GCF_013374995.1
s__Desulfolutivibrio sulfodismutans	GCF_013376455.1
s__Mannheimia pernigra	GCF_013377995.1
s__Parasphingopyxis sp013378055	GCF_013378055.1
s__Rhodopseudomonas palustris_F	GCF_013415845.1
s__Empedobacter falsenii_A	GCF_013488205.1
s__Providencia rettgeri_F	GCF_013702265.1
s__Nocardioides sp014127485	GCF_014127485.1
s__Synechococcus_C sp014279975	GCF_014279975.1
s__Synechococcus_C sp002693285	GCF_014280035.1
s__Variovorax sp014302995	GCF_014302995.1
s__Sphingomonas sp014334115	GCF_014334115.1
s__Aeromicrobium sp014334735	GCF_014334735.1
s__Sphingomicrobium sp014352855	GCF_014352855.1
s__Sphingomicrobium lutea	GCF_014396785.1
s__Thermomonas sp014678725	GCF_014678725.1
s__Geobacillus sp002077765	GCF_014679505.1
s__Solibaculum mannosilyticum	GCF_015140235.1
s__Streptomyces ferrugineus	GCF_015160855.1
s__Kaustia mangrovi	GCF_015482775.1
s__Mesorhizobium sp015500075	GCF_015500075.1
s__Alteromonas sp015644725	GCF_015644725.1
s__Atribacter laminatus	GCF_015775515.1
s__Desulfobulbus oligotrophicus	GCF_016446285.1
s__Mesorhizobium sp004020105	GCF_016756595.1
s__Paenibacillus sonchi	GCF_016772475.1
s__Microvirga sp016864375	GCF_016864375.1
s__Dyadobacter sp016894445	GCF_016894445.1
s__Lysobacter enzymogenes_C	GCF_017355525.1
s__Pseudoalteromonas xiamenensis	GCF_017638925.1
s__Streptococcus sp013623465	GCF_017639855.1
s__Nocardia tengchongensis	GCF_018362975.1
s__Pseudomonas_E sp900101695	GCF_018417635.1
s__Cellulomonas sp018623035	GCF_018623035.1
s__Polynucleobacter sp018687535	GCF_018687535.1
s__Bradyrhizobium sp018736105	GCF_018736105.1
s__JABFXA01 sp019039255	GCF_019039255.1
s__Pseudoalteromonas shioyasakiensis_A	GCF_019134595.1
s__Pseudomonas_E sp019139535	GCF_019139535.1
s__Pseudomonas_E sp900005815	GCF_019139815.1
s__Murdochiella vaginalis	GCF_900119705.1
s__Buchnera aphidicola_K	GCF_900128725.1
s__Pasteurella dagmatis	GCF_900186835.1
s__Serratia ficaria	GCF_900187015.1
s__Megamonas hypermegale	GCF_900187035.1
s__Aliarcobacter butzleri	GCF_900187115.1
s__Tenacibaculum jejuense	GCF_900198195.1
s__Pseudodesulfovibrio profundus	GCF_900217235.1
s__Streptomyces chartreusis_D	GCF_900236475.1
s__Mycoplasmoides gallisepticum	GCF_900476085.1
s__Helicobacter pylori	GCF_900478295.1
s__Cedecea lapagei	GCF_900635955.1
s__Aeromonas encheleia	GCF_900637545.1
s__Prevotella oris	GCF_900637655.1
s__Porphyromonas_A cangingivalis	GCF_900638305.1
s__Neisseria weaveri	GCF_900638685.1
s__Mycoplasmopsis_A cynos	GCF_900660545.1
s__Mycoplasmopsis_A glycophilum	GCF_900660605.1
s__Mycoplasmopsis maculosa	GCF_900660665.1
s__Streptococcus australis_A	GCF_901543175.1
s__V1718 sp007993755	GCA_007993755.1
s__Acanthopleuribacter sp017498545	GCA_017498545.1
s__Polaribacter sp011379025	GCA_019263805.1
s__CECT-30217 sp907165195	GCA_907165195.1
s__Wolbachia sp000008385	GCF_000008385.1
s__Clostridium_S acetobutylicum	GCF_000008765.1
s__Rhodococcus opacus_C	GCF_000010805.1
s__Bacillus licheniformis	GCF_000011645.1
s__Prochlorococcus_B marinus_B	GCF_000012465.1
